communities,Sc,order_interaction (with Sc),replicates,fraction_sugars_consumed
"Lt;Hop;Zb;Td;Ku;Sc5,wSc,5,2,0.948912765957447"
"Lt;Hop;Zb;Td;Ku;Sc5,wSc,5,3,0.920359574468085"
"Lt;Hop;Zb;Td;Ku;Sc8,wSc,5,1,0.927528618968386"
"Lt;Hop;Zb;Td;Ku;Sc8,wSc,5,2,0.902870212765957"
"Lt;Hop;Zb;Td;Ku;Sc8,wSc,5,3,0.906274468085106"
"Lt;Hop;Zb;Td;Lt;,woSc,5,1,0.961222462562396"
"Lt;Hop;Zb;Td;Lt;,woSc,5,2,0.956614893617021"
"Lt;Hop;Zb;Td;Lt;,woSc,5,3,0.954955319148936"
"Lt;Hop;Zb;Td;Lt;Sc5,wSc,5,1,0.961804825291181"
"Lt;Hop;Zb;Td;Lt;Sc5,wSc,5,2,0.957465957446809"
"Lt;Hop;Zb;Td;Lt;Sc5,wSc,5,3,0.928742553191489"
"Lt;Hop;Zb;Td;Lt;Sc8,wSc,5,1,0.963177537437604"
"Lt;Hop;Zb;Td;Lt;Sc8,wSc,5,2,0.957210638297872"
"Lt;Hop;Zb;Td;Lt;Sc8,wSc,5,3,0.9567"
"Lt;Hop;Zb;Td;Mp;,woSc,5,1,0.701447088186356"
"Lt;Hop;Zb;Td;Mp;,woSc,5,2,0.719763829787234"
"Lt;Hop;Zb;Td;Mp;,woSc,5,3,0.705636170212766"
"Lt;Hop;Zb;Td;Mp;Sc5,wSc,5,1,0.952653410981697"
"Lt;Hop;Zb;Td;Mp;Sc5,wSc,5,2,0.890614893617021"
"Lt;Hop;Zb;Td;Mp;Sc5,wSc,5,3,0.913253191489362"
"Lt;Hop;Zb;Td;Mp;Sc8,wSc,5,1,0.832769883527454"
"Lt;Hop;Zb;Td;Mp;Sc8,wSc,5,2,0.780529787234043"
"Lt;Hop;Zb;Td;Mp;Sc8,wSc,5,3,0.792487234042553"
"Lt;Hop;Zb;Td;Pk;,woSc,5,1,0.794417138103162"
"Lt;Hop;Zb;Td;Pk;,woSc,5,2,0.834104255319149"
"Lt;Hop;Zb;Td;Pk;,woSc,5,3,0.856402127659574"
"Lt;Hop;Zb;Td;Pk;Sc5,wSc,5,1,0.963926289517471"
"Lt;Hop;Zb;Td;Pk;Sc5,wSc,5,2,0.935465957446808"
"Lt;Hop;Zb;Td;Pk;Sc5,wSc,5,3,0.913168085106383"
"Lt;Hop;Zb;Td;Pk;Sc8,wSc,5,1,0.850365557404326"
"Lt;Hop;Zb;Td;Pk;Sc8,wSc,5,2,0.852657446808511"
"Lt;Hop;Zb;Td;Pk;Sc8,wSc,5,3,0.860146808510638"
"Lt;Hop;Zb;Td;Sc5,wSc,4,1,0.96380149750416"
"Lt;Hop;Zb;Td;Sc5,wSc,4,2,0.934231914893617"
"Lt;Hop;Zb;Td;Sc5,wSc,4,3,0.91138085106383"
"Lt;Hop;Zb;Td;Sc8,wSc,4,1,0.924533610648918"
"Lt;Hop;Zb;Td;Sc8,wSc,4,2,0.924317021276596"
"Lt;Hop;Zb;Td;Sc8,wSc,4,3,0.936487234042553"
"Lt;Hop;Zb;Td;Sp;,woSc,5,1,0.955523627287854"
"Lt;Hop;Zb;Td;Sp;,woSc,5,2,0.928104255319149"
"Lt;Hop;Zb;Td;Sp;,woSc,5,3,0.911976595744681"
"Lt;Hop;Zb;Td;Sp;Sc5,wSc,5,1,0.962387188019967"
"Lt;Hop;Zb;Td;Sp;Sc5,wSc,5,2,0.954785106382979"
"Lt;Hop;Zb;Td;Sp;Sc5,wSc,5,3,0.923678723404255"
"Lt;Hop;Zb;Td;Sp;Sc8,wSc,5,1,0.957437104825291"
"Lt;Hop;Zb;Td;Sp;Sc8,wSc,5,2,0.934402127659574"
"Lt;Hop;Zb;Td;Sp;Sc8,wSc,5,3,0.948317021276596"
"Lt;Hop;Zb;Td;Td;,woSc,5,1,0.844333943427621"
"Lt;Hop;Zb;Td;Td;,woSc,5,2,0.839763829787234"
"Lt;Hop;Zb;Td;Td;,woSc,5,3,0.8647"
"Lt;Hop;Zb;Td;Td;Sc5,wSc,5,1,0.964134276206323"
"Lt;Hop;Zb;Td;Td;Sc5,wSc,5,2,0.937295744680851"
"Lt;Hop;Zb;Td;Td;Sc5,wSc,5,3,0.912231914893617"
"Lt;Hop;Zb;Td;Td;Sc8,wSc,5,1,0.874907986688852"
"Lt;Hop;Zb;Td;Td;Sc8,wSc,5,2,0.850955319148936"
"Lt;Hop;Zb;Td;Td;Sc8,wSc,5,3,0.848742553191489"
"Lt;Hop;Zb;Td;Wa;,woSc,5,1,0.811347254575707"
"Lt;Hop;Zb;Td;Wa;,woSc,5,2,0.764317021276596"
"Lt;Hop;Zb;Td;Wa;,woSc,5,3,0.761934042553192"
"Lt;Hop;Zb;Td;Wa;Sc5,wSc,5,1,0.96059850249584"
"Lt;Hop;Zb;Td;Wa;Sc5,wSc,5,2,0.943806382978723"
"Lt;Hop;Zb;Td;Wa;Sc5,wSc,5,3,0.923678723404255"
"Lt;Hop;Zb;Td;Wa;Sc8,wSc,5,1,0.906896339434276"
"Lt;Hop;Zb;Td;Wa;Sc8,wSc,5,2,0.877636170212766"
"Lt;Hop;Zb;Td;Wa;Sc8,wSc,5,3,0.913636170212766"
"Lt;Hop;Zb;Td;Zb;,woSc,5,1,0.964383860232945"
"Lt;Hop;Zb;Td;Zb;,woSc,5,2,0.955040425531915"
"Lt;Hop;Zb;Td;Zb;,woSc,5,3,0.934742553191489"
"Lt;Hop;Zb;Td;Zb;Sc5,wSc,5,1,0.962428785357737"
"Lt;Hop;Zb;Td;Zb;Sc5,wSc,5,2,0.957508510638298"
"Lt;Hop;Zb;Td;Zb;Sc5,wSc,5,3,0.928657446808511"
"Lt;Hop;Zb;Td;Zb;Sc8,wSc,5,1,0.963427121464226"
"Lt;Hop;Zb;Td;Zb;Sc8,wSc,5,2,0.956742553191489"
"Lt;Hop;Zb;Td;Zb;Sc8,wSc,5,3,0.956402127659574"
Sc5,wSc,0,1,0.962886356073211
Sc5,wSc,0,2,0.932231914893617
Sc5,wSc,0,3,0.911168085106383
Sc8,wSc,0,1,0.95078153078203
Sc8,wSc,0,2,0.944189361702128
Sc8,wSc,0,3,0.956657446808511
Sc5,wSc,0,1,0.955440432612313
Sc5,wSc,0,2,0.919806382978723
Sc5,wSc,0,3,0.898742553191489
Sc8,wSc,0,1,0.936846422628952
Sc8,wSc,0,2,0.935848936170213
Sc8,wSc,0,3,0.957168085106383
"Zb;Sp;Ap;Mp;,woSc,4,1,0.476946256239601"
"Zb;Sp;Ap;Mp;,woSc,4,2,0.552146808510638"
"Zb;Sp;Ap;Mp;,woSc,4,3,0.578402127659574"
"Zb;Sp;Ap;Mp;Ap;,woSc,5,1,0.517919633943428"
"Zb;Sp;Ap;Mp;Ap;,woSc,5,2,0.526487234042553"
"Zb;Sp;Ap;Mp;Ap;,woSc,5,3,0.575848936170213"
"Zb;Sp;Ap;Mp;Ap;Sc5,wSc,5,1,0.957187520798669"
"Zb;Sp;Ap;Mp;Ap;Sc5,wSc,5,2,0.9067"
"Zb;Sp;Ap;Mp;Ap;Sc5,wSc,5,3,0.902955319148936"
"Zb;Sp;Ap;Mp;Ap;Sc8,wSc,5,1,0.899367221297837"
"Zb;Sp;Ap;Mp;Ap;Sc8,wSc,5,2,0.888870212765957"
"Zb;Sp;Ap;Mp;Ap;Sc8,wSc,5,3,0.909721276595745"
"Zb;Sp;Ap;Mp;Hop;,woSc,5,1,0.467628452579035"
"Zb;Sp;Ap;Mp;Hop;,woSc,5,2,0.515210638297872"
"Zb;Sp;Ap;Mp;Hop;,woSc,5,3,0.58733829787234"
"Zb;Sp;Ap;Mp;Hop;Sc5,wSc,5,1,0.922287354409318"
"Zb;Sp;Ap;Mp;Hop;Sc5,wSc,5,2,0.889125531914894"
"Zb;Sp;Ap;Mp;Hop;Sc5,wSc,5,3,0.885253191489362"
"Zb;Sp;Ap;Mp;Hop;Sc8,wSc,5,1,0.946372212978369"
"Zb;Sp;Ap;Mp;Hop;Sc8,wSc,5,2,0.938317021276596"
"Zb;Sp;Ap;Mp;Hop;Sc8,wSc,5,3,0.954657446808511"
"Zb;Sp;Ap;Mp;Ku;,woSc,5,1,0.567836439267887"
"Zb;Sp;Ap;Mp;Ku;,woSc,5,2,0.508614893617021"
"Zb;Sp;Ap;Mp;Ku;,woSc,5,3,0.589806382978723"
"Zb;Sp;Ap;Mp;Ku;Sc5,wSc,5,1,0.949949584026622"
"Zb;Sp;Ap;Mp;Ku;Sc5,wSc,5,2,0.88933829787234"
"Zb;Sp;Ap;Mp;Ku;Sc5,wSc,5,3,0.894614893617021"
"Zb;Sp;Ap;Mp;Ku;Sc8,wSc,5,1,0.877778202995008"
"Zb;Sp;Ap;Mp;Ku;Sc8,wSc,5,2,0.872529787234043"
"Zb;Sp;Ap;Mp;Ku;Sc8,wSc,5,3,0.904997872340426"
"Zb;Sp;Ap;Mp;Lt;,woSc,5,1,0.74697"
